id;bimanual_dexterity;depth_perception;efficiency;tissue_handling;rater;GRS
blaox;5.0;4.0;4.0;4.0;1;17.0
bliux;3.0;4.0;4.0;5.0;1;16.0
bloarr;2.0;2.0;3.0;4.0;1;11.0
blouf;4.0;4.0;5.0;4.0;1;17.0
bloufy;5.0;5.0;4.0;5.0;1;19.0
breest;2.0;4.0;4.0;4.0;1;14.0
breiacs;5.0;5.0;4.0;5.0;1;19.0
broeds;3.0;2.0;3.0;3.0;1;11.0
broegy;4.0;3.0;4.0;4.0;1;15.0
broiss;3.0;3.0;4.0;2.0;1;12.0
broun;5.0;4.0;4.0;3.0;1;16.0
buv;3.0;2.0;2.0;3.0;1;10.0
chaaps;2.0;1.0;2.0;3.0;1;8.0
cheorly;5.0;4.0;4.0;5.0;1;18.0
choelt;2.0;3.0;3.0;2.0;1;10.0
chreels;3.0;4.0;4.0;4.0;1;15.0
chreex;3.0;4.0;5.0;1.0;1;13.0
chriath;2.0;3.0;3.0;3.0;1;11.0
chrieund;4.0;3.0;4.0;1.0;1;12.0
ciaorth;4.0;4.0;4.0;3.0;1;15.0
clieuh;3.0;2.0;4.0;3.0;1;12.0
cluerd;2.0;1.0;1.0;2.0;1;6.0
craaly;4.0;3.0;3.0;2.0;1;12.0
croiaps;4.0;4.0;4.0;2.0;1;14.0
cruarty;3.0;4.0;4.0;5.0;1;16.0
cucks;2.0;2.0;1.0;3.0;1;8.0
cyclaess;3.0;3.0;3.0;4.0;1;13.0
cyclaurs;3.0;2.0;2.0;4.0;1;11.0
cycliarn;3.0;2.0;2.0;2.0;1;9.0
cycloass;4.0;3.0;4.0;2.0;1;13.0
cycloll;3.0;3.0;3.0;2.0;1;11.0
cycluts;3.0;2.0;2.0;2.0;1;9.0
cziaol;4.0;3.0;3.0;2.0;1;12.0
dact;3.0;4.0;4.0;5.0;1;16.0
diound;3.0;3.0;3.0;3.0;1;12.0
draetts;3.0;3.0;3.0;4.0;1;13.0
dries;4.0;3.0;3.0;3.0;1;13.0
driirg;3.0;3.0;3.0;3.0;1;12.0
driiwn;3.0;4.0;4.0;4.0;1;15.0
driodly;5.0;4.0;4.0;5.0;1;18.0
driurst;3.0;4.0;4.0;4.0;1;15.0
druell;2.0;2.0;2.0;2.0;1;8.0
duegy;3.0;2.0;3.0;5.0;1;13.0
dwaiapt;5.0;3.0;4.0;2.0;1;14.0
dynieurr;2.0;3.0;4.0;2.0;1;11.0
dynoaly;4.0;4.0;5.0;5.0;1;18.0
dynoiarst;2.0;2.0;2.0;2.0;1;8.0
faings;3.0;4.0;4.0;2.0;1;13.0
fauef;5.0;5.0;5.0;5.0;1;20.0
feiav;1.0;2.0;2.0;3.0;1;8.0
flioub;3.0;4.0;4.0;5.0;1;16.0
frauny;3.0;3.0;3.0;3.0;1;12.0
freauf;3.0;4.0;4.0;2.0;1;13.0
fregh;5.0;3.0;3.0;4.0;1;15.0
freuts;3.0;2.0;3.0;1.0;1;9.0
friahl;4.0;3.0;3.0;3.0;1;13.0
froig;3.0;4.0;4.0;2.0;1;13.0
fruics;3.0;4.0;4.0;3.0;1;14.0
fusk;4.0;3.0;4.0;5.0;1;16.0
geums;3.0;4.0;5.0;4.0;1;16.0
geurd;3.0;2.0;2.0;3.0;1;10.0
ghaiah;2.0;3.0;3.0;4.0;1;12.0
ghaiaws;4.0;2.0;3.0;4.0;1;13.0
ghaiocts;3.0;3.0;3.0;4.0;1;13.0
ghiarty;5.0;4.0;5.0;2.0;1;16.0
ghiath;2.0;4.0;3.0;2.0;1;11.0
ghoat;4.0;4.0;4.0;5.0;1;17.0
ghoobs;4.0;4.0;4.0;2.0;1;14.0
glailt;5.0;5.0;4.0;4.0;1;18.0
gleant;4.0;3.0;4.0;4.0;1;15.0
gleantly;3.0;4.0;4.0;3.0;1;14.0
gleust;5.0;4.0;4.0;5.0;1;18.0
glirth;3.0;3.0;3.0;4.0;1;13.0
gluodly;4.0;4.0;4.0;2.0;1;14.0
gnaect;2.0;4.0;4.0;2.0;1;12.0
gnants;4.0;3.0;3.0;4.0;1;14.0
gnauesly;3.0;3.0;3.0;5.0;1;14.0
gniom;3.0;2.0;2.0;3.0;1;10.0
guhn;3.0;3.0;4.0;3.0;1;13.0
haov;2.0;4.0;4.0;5.0;1;15.0
hreusly;3.0;2.0;3.0;3.0;1;11.0
hriorty;5.0;5.0;4.0;5.0;1;19.0
hroeng;3.0;3.0;3.0;5.0;1;14.0
huerg;5.0;5.0;5.0;4.0;1;19.0
hyaix;5.0;3.0;3.0;2.0;1;13.0
hyauegs;2.0;2.0;2.0;3.0;1;9.0
hydreolt;3.0;3.0;3.0;5.0;1;14.0
hydrious;2.0;2.0;3.0;5.0;1;12.0
hydruierds;2.0;1.0;1.0;3.0;1;7.0
hyoirm;3.0;3.0;4.0;2.0;1;12.0
hypaom;3.0;4.0;4.0;2.0;1;13.0
hypiegs;3.0;3.0;4.0;5.0;1;15.0
jaegy;2.0;2.0;2.0;3.0;1;9.0
jaioth;4.0;5.0;5.0;4.0;1;18.0
jaw;4.0;3.0;4.0;3.0;1;14.0
jousm;3.0;3.0;4.0;2.0;1;12.0
kheold;4.0;3.0;3.0;5.0;1;15.0
khieuy;3.0;4.0;5.0;3.0;1;15.0
khoil;3.0;2.0;3.0;3.0;1;11.0
khoucks;3.0;3.0;4.0;2.0;1;12.0
khouss;3.0;3.0;3.0;5.0;1;14.0
klaub;2.0;2.0;3.0;2.0;1;9.0
kloal;3.0;3.0;3.0;2.0;1;11.0
kloutt;4.0;4.0;4.0;2.0;1;14.0
kluarry;3.0;3.0;3.0;2.0;1;11.0
knaiab;4.0;4.0;4.0;4.0;1;16.0
kneiss;4.0;3.0;4.0;2.0;1;13.0
kniaks;3.0;4.0;4.0;4.0;1;15.0
kniuth;2.0;2.0;2.0;2.0;1;8.0
knoasm;3.0;4.0;4.0;5.0;1;16.0
knoopt;4.0;4.0;3.0;1.0;1;12.0
kreash;4.0;4.0;3.0;1.0;1;12.0
kreorts;3.0;3.0;4.0;5.0;1;15.0
kreuff;3.0;3.0;4.0;3.0;1;13.0
kriaorts;3.0;4.0;4.0;3.0;1;14.0
kriern;2.0;3.0;3.0;4.0;1;12.0
kroiwn;3.0;3.0;3.0;4.0;1;13.0
kruef;3.0;3.0;3.0;2.0;1;11.0
kug;3.0;3.0;3.0;3.0;1;12.0
kwiitch;3.0;2.0;3.0;2.0;1;10.0
kwiuch;3.0;4.0;4.0;3.0;1;14.0
kwuex;3.0;3.0;4.0;2.0;1;12.0
laioft;3.0;2.0;3.0;3.0;1;11.0
liaosm;2.0;2.0;1.0;3.0;1;8.0
lietch;3.0;3.0;3.0;3.0;1;12.0
liusk;3.0;2.0;3.0;2.0;1;10.0
luihn;4.0;3.0;4.0;5.0;1;16.0
maoty;3.0;2.0;3.0;3.0;1;11.0
mcaus;5.0;4.0;4.0;4.0;1;17.0
mccaosm;3.0;4.0;4.0;5.0;1;16.0
mcciight;4.0;3.0;4.0;3.0;1;14.0
mcclaiorr;3.0;4.0;4.0;5.0;1;16.0
mccleauds;3.0;3.0;4.0;4.0;1;14.0
mccloork;2.0;3.0;3.0;3.0;1;11.0
mccriourd;5.0;3.0;3.0;4.0;1;15.0
mccruird;5.0;4.0;4.0;2.0;1;15.0
mccuy;3.0;3.0;4.0;5.0;1;15.0
mcdeux;3.0;2.0;3.0;3.0;1;11.0
mcdiirk;4.0;4.0;5.0;3.0;1;16.0
mcdip;5.0;4.0;5.0;1.0;1;15.0
mcdird;3.0;2.0;2.0;3.0;1;10.0
mceausts;3.0;4.0;5.0;2.0;1;14.0
mcfeurds;3.0;4.0;4.0;4.0;1;15.0
mcfoeff;2.0;2.0;3.0;3.0;1;10.0
mcgeisch;3.0;1.0;2.0;3.0;1;9.0
mcgeost;3.0;2.0;3.0;3.0;1;11.0
mcgeurs;5.0;4.0;4.0;3.0;1;16.0
mcgiys;3.0;3.0;3.0;1.0;1;10.0
mciarty;3.0;4.0;4.0;5.0;1;16.0
mciown;3.0;4.0;5.0;3.0;1;15.0
mciuss;5.0;4.0;4.0;1.0;1;14.0
mckaiahl;3.0;4.0;3.0;5.0;1;15.0
mckauech;2.0;3.0;4.0;3.0;1;12.0
mckauesch;5.0;3.0;4.0;2.0;1;14.0
mckeb;4.0;4.0;5.0;3.0;1;16.0
mckeeds;5.0;4.0;5.0;5.0;1;19.0
mckiird;4.0;4.0;4.0;1.0;1;13.0
mckiout;4.0;2.0;2.0;3.0;1;11.0
mckoard;3.0;4.0;3.0;4.0;1;14.0
mckuieg;5.0;5.0;5.0;4.0;1;19.0
mclaonk;3.0;2.0;3.0;3.0;1;11.0
mcleaung;3.0;4.0;4.0;5.0;1;16.0
mcloity;3.0;3.0;4.0;4.0;1;14.0
mcluirf;5.0;4.0;4.0;4.0;1;17.0
mcmaosh;4.0;5.0;5.0;4.0;1;18.0
mcmeiags;3.0;3.0;3.0;3.0;1;12.0
mcmiawn;2.0;2.0;3.0;3.0;1;10.0
mcmouft;3.0;4.0;4.0;2.0;1;13.0
mcneaum;4.0;5.0;4.0;4.0;1;17.0
mcnesh;3.0;2.0;3.0;2.0;1;10.0
mcnoem;2.0;2.0;2.0;1.0;1;7.0
mcnoosh;2.0;2.0;3.0;4.0;1;11.0
mcnoutt;3.0;3.0;2.0;4.0;1;12.0
mcnurs;4.0;4.0;4.0;2.0;1;14.0
miads;5.0;4.0;4.0;5.0;1;18.0
miirth;3.0;3.0;4.0;3.0;1;13.0
pains;3.0;3.0;3.0;2.0;1;11.0
pebly;4.0;3.0;3.0;3.0;1;13.0
peld;4.0;3.0;3.0;5.0;1;15.0
pfauert;3.0;3.0;3.0;4.0;1;13.0
pheirs;3.0;5.0;5.0;5.0;1;18.0
phialls;3.0;2.0;3.0;3.0;1;11.0
phoegs;2.0;3.0;3.0;2.0;1;10.0
physaioz;3.0;3.0;3.0;3.0;1;12.0
physeamp;4.0;3.0;4.0;2.0;1;13.0
piff;3.0;3.0;3.0;2.0;1;11.0
ploetts;3.0;4.0;4.0;1.0;1;12.0
plogs;3.0;3.0;3.0;3.0;1;12.0
plows;2.0;1.0;1.0;3.0;1;7.0
poants;5.0;4.0;5.0;5.0;1;19.0
preuld;2.0;3.0;3.0;2.0;1;10.0
proiarth;3.0;2.0;3.0;3.0;1;11.0
pruinds;3.0;3.0;4.0;5.0;1;15.0
psychaeds;5.0;5.0;5.0;5.0;1;20.0
psychuobly;4.0;4.0;4.0;5.0;1;17.0
psychuotts;3.0;2.0;3.0;1.0;1;9.0
puirr;3.0;2.0;3.0;4.0;1;12.0
qeelt;2.0;2.0;3.0;3.0;1;10.0
qeosts;5.0;5.0;5.0;5.0;1;20.0
qiefy;3.0;3.0;2.0;3.0;1;11.0
reauks;4.0;4.0;5.0;2.0;1;15.0
rheam;5.0;3.0;4.0;4.0;1;16.0
rheicy;3.0;4.0;4.0;2.0;1;13.0
rhieurn;3.0;5.0;5.0;4.0;1;17.0
rhieurry;3.0;4.0;4.0;5.0;1;16.0
rhieusp;3.0;4.0;4.0;5.0;1;16.0
rielt;3.0;2.0;2.0;2.0;1;9.0
ruends;3.0;4.0;3.0;2.0;1;12.0
ruontly;3.0;3.0;3.0;4.0;1;13.0
sceufy;3.0;2.0;3.0;2.0;1;10.0
scheacy;2.0;2.0;1.0;1.0;1;6.0
schiank;5.0;4.0;5.0;3.0;1;17.0
schiirs;3.0;3.0;2.0;4.0;1;12.0
schlauns;5.0;5.0;5.0;5.0;1;20.0
schleand;3.0;5.0;5.0;4.0;1;17.0
schluagy;3.0;3.0;3.0;4.0;1;13.0
schmaeps;2.0;3.0;3.0;3.0;1;11.0
schmects;3.0;4.0;5.0;5.0;1;17.0
schmiouc;3.0;3.0;2.0;2.0;1;10.0
schmuorry;3.0;2.0;2.0;3.0;1;10.0
schnuiess;3.0;3.0;3.0;2.0;1;11.0
schread;3.0;3.0;4.0;1.0;1;11.0
schreolt;3.0;3.0;4.0;3.0;1;13.0
schrongly;2.0;2.0;3.0;4.0;1;11.0
schues;5.0;5.0;5.0;2.0;1;17.0
schwaiorg;5.0;4.0;4.0;5.0;1;18.0
schwiaongs;3.0;2.0;3.0;4.0;1;12.0
schwiry;2.0;2.0;3.0;2.0;1;9.0
schwoegh;4.0;3.0;4.0;2.0;1;13.0
scoehl;2.0;2.0;3.0;3.0;1;10.0
screess;3.0;4.0;3.0;3.0;1;13.0
scuerr;3.0;2.0;2.0;3.0;1;10.0
scuints;3.0;2.0;2.0;5.0;1;12.0
shreiarn;2.0;3.0;2.0;2.0;1;9.0
shroiank;3.0;4.0;4.0;2.0;1;13.0
shroigh;5.0;5.0;5.0;2.0;1;17.0
skeems;3.0;4.0;4.0;4.0;1;15.0
skiitt;3.0;3.0;3.0;4.0;1;13.0
skiorf;4.0;5.0;4.0;2.0;1;15.0
skoards;4.0;4.0;5.0;2.0;1;15.0
skond;3.0;4.0;4.0;4.0;1;15.0
skoock;3.0;4.0;3.0;1.0;1;11.0
skuirst;3.0;2.0;2.0;4.0;1;11.0
slaacks;3.0;1.0;1.0;1.0;1;6.0
slaaf;4.0;2.0;3.0;1.0;1;10.0
smiang;5.0;4.0;5.0;5.0;1;19.0
smiorry;3.0;3.0;3.0;4.0;1;13.0
sneeft;2.0;3.0;2.0;2.0;1;9.0
soib;3.0;2.0;3.0;1.0;1;9.0
soihn;3.0;3.0;4.0;2.0;1;12.0
spaions;3.0;2.0;3.0;5.0;1;13.0
spiity;3.0;4.0;4.0;2.0;1;13.0
spluerm;4.0;2.0;3.0;1.0;1;10.0
spluosp;3.0;4.0;4.0;3.0;1;14.0
spraiok;3.0;2.0;3.0;3.0;1;11.0
sprutz;3.0;2.0;3.0;2.0;1;10.0
squoz;2.0;2.0;2.0;5.0;1;11.0
srauelt;3.0;3.0;4.0;3.0;1;13.0
srioms;2.0;2.0;2.0;3.0;1;9.0
staerm;2.0;2.0;2.0;3.0;1;9.0
staiaps;3.0;4.0;5.0;4.0;1;16.0
steety;3.0;4.0;5.0;2.0;1;14.0
streaucks;3.0;2.0;2.0;4.0;1;11.0
striaoc;3.0;2.0;4.0;4.0;1;13.0
strieurty;3.0;2.0;3.0;3.0;1;11.0
strioh;3.0;3.0;4.0;2.0;1;12.0
striurly;3.0;2.0;3.0;3.0;1;11.0
strunn;3.0;3.0;3.0;2.0;1;11.0
suays;3.0;3.0;4.0;5.0;1;15.0
sweauws;3.0;2.0;2.0;2.0;1;9.0
swiism;4.0;4.0;4.0;4.0;1;16.0
symbaapp;5.0;4.0;5.0;2.0;1;16.0
symbauerst;5.0;4.0;5.0;5.0;1;19.0
symbeausly;3.0;3.0;3.0;4.0;1;13.0
symbeiangs;4.0;4.0;5.0;3.0;1;16.0
symbiount;3.0;2.0;3.0;4.0;1;12.0
symboerf;3.0;2.0;2.0;4.0;1;11.0
symbuill;3.0;3.0;4.0;4.0;1;14.0
synart;4.0;4.0;3.0;3.0;1;14.0
synuarg;3.0;2.0;3.0;4.0;1;12.0
szaoh;3.0;2.0;2.0;3.0;1;10.0
szioubs;3.0;2.0;3.0;3.0;1;11.0
thaiancy;2.0;2.0;2.0;4.0;1;10.0
thraongly;4.0;4.0;5.0;2.0;1;15.0
tiudly;3.0;1.0;2.0;3.0;1;9.0
treepp;2.0;2.0;2.0;2.0;1;8.0
treix;4.0;3.0;3.0;3.0;1;13.0
trepp;4.0;3.0;4.0;2.0;1;13.0
triards;2.0;2.0;3.0;1.0;1;8.0
triuns;2.0;2.0;2.0;3.0;1;9.0
truoz;5.0;4.0;4.0;2.0;1;15.0
tseol;3.0;3.0;3.0;3.0;1;12.0
tsiould;3.0;3.0;3.0;4.0;1;13.0
tsoengs;3.0;4.0;4.0;4.0;1;15.0
tsoidy;2.0;2.0;3.0;3.0;1;10.0
twearst;3.0;4.0;4.0;3.0;1;14.0
tweully;4.0;2.0;3.0;4.0;1;13.0
twiuks;3.0;3.0;3.0;4.0;1;13.0
twourly;2.0;2.0;1.0;3.0;1;8.0
typaiods;5.0;4.0;5.0;2.0;1;16.0
typeic;4.0;5.0;5.0;5.0;1;19.0
typeorth;4.0;4.0;4.0;5.0;1;17.0
typoiwn;3.0;2.0;2.0;3.0;1;10.0
vaey;3.0;4.0;3.0;5.0;1;15.0
veiabs;4.0;5.0;5.0;5.0;1;19.0
vert;3.0;3.0;4.0;3.0;1;13.0
vigs;5.0;5.0;5.0;2.0;1;17.0
voal;4.0;4.0;3.0;2.0;1;13.0
weihn;4.0;3.0;3.0;5.0;1;15.0
