id;bimanual_dexterity;depth_perception;efficiency;tissue_handling;rater;GRS
bliuntly;5.0;4.0;5.0;5.0;0;19.0
bluags;2.0;2.0;2.0;2.0;0;8.0
broiash;3.0;4.0;4.0;3.0;0;14.0
broil;3.0;2.0;2.0;1.0;0;8.0
caiangly;3.0;2.0;3.0;2.0;0;10.0
ceon;3.0;2.0;2.0;2.0;0;9.0
ceor;3.0;3.0;2.0;2.0;0;10.0
cheown;3.0;4.0;4.0;3.0;0;14.0
craias;5.0;5.0;5.0;5.0;0;20.0
criur;3.0;3.0;4.0;3.0;0;13.0
cycluill;3.0;2.0;2.0;2.0;0;9.0
daeks;3.0;3.0;2.0;3.0;0;11.0
dynaiadly;4.0;3.0;4.0;4.0;0;15.0
dynetz;2.0;3.0;2.0;2.0;0;9.0
fiaws;3.0;3.0;4.0;2.0;0;12.0
flaiolt;2.0;3.0;2.0;2.0;0;9.0
floack;4.0;4.0;4.0;2.0;0;14.0
fraiob;2.0;2.0;2.0;1.0;0;7.0
fruilt;4.0;3.0;4.0;3.0;0;14.0
gaiong;4.0;3.0;4.0;3.0;0;14.0
geatz;3.0;2.0;2.0;2.0;0;9.0
geord;2.0;3.0;2.0;3.0;0;10.0
ghaiak;3.0;3.0;2.0;3.0;0;11.0
ghaung;4.0;4.0;5.0;5.0;0;18.0
ghoaf;2.0;2.0;1.0;1.0;0;6.0
gieun;3.0;2.0;2.0;2.0;0;9.0
glauel;4.0;4.0;4.0;4.0;0;16.0
gliiws;2.0;1.0;1.0;2.0;0;6.0
gniacs;3.0;3.0;3.0;3.0;0;12.0
hraoght;2.0;2.0;3.0;1.0;0;8.0
hriogy;4.0;4.0;4.0;3.0;0;15.0
hriorf;3.0;2.0;3.0;1.0;0;9.0
hydruenn;2.0;2.0;1.0;2.0;0;7.0
hyihl;3.0;3.0;2.0;3.0;0;11.0
hypuely;4.0;4.0;4.0;4.0;0;16.0
hyuewn;3.0;4.0;4.0;3.0;0;14.0
hyuients;4.0;4.0;4.0;3.0;0;15.0
jiaft;4.0;3.0;4.0;2.0;0;13.0
kheasm;3.0;3.0;2.0;3.0;0;11.0
khiery;4.0;3.0;5.0;3.0;0;15.0
kliotz;3.0;4.0;3.0;4.0;0;14.0
koms;2.0;2.0;1.0;2.0;0;7.0
krioun;3.0;3.0;3.0;1.0;0;10.0
kuews;4.0;3.0;3.0;4.0;0;14.0
kwoks;4.0;3.0;4.0;3.0;0;14.0
ladly;2.0;2.0;2.0;2.0;0;8.0
mady;4.0;3.0;3.0;4.0;0;14.0
mcaully;3.0;3.0;3.0;2.0;0;11.0
mcceacy;3.0;2.0;2.0;2.0;0;9.0
mcceiash;3.0;3.0;4.0;2.0;0;12.0
mccleess;3.0;3.0;3.0;2.0;0;11.0
mcdiins;3.0;3.0;4.0;2.0;0;12.0
mcdiuny;3.0;3.0;2.0;2.0;0;10.0
mcduay;3.0;3.0;2.0;3.0;0;11.0
mcduiys;3.0;3.0;3.0;3.0;0;12.0
mcduosch;2.0;3.0;3.0;3.0;0;11.0
mcgionts;3.0;3.0;3.0;4.0;0;13.0
mckuily;3.0;3.0;2.0;2.0;0;10.0
mcmeb;2.0;3.0;2.0;3.0;0;10.0
mcmiisly;3.0;3.0;3.0;3.0;0;12.0
mcnoedy;3.0;3.0;3.0;3.0;0;12.0
muosch;5.0;5.0;4.0;4.0;0;18.0
nitt;4.0;4.0;4.0;5.0;0;17.0
pfoely;3.0;3.0;3.0;2.0;0;11.0
physaox;3.0;3.0;2.0;2.0;0;10.0
physeurg;3.0;4.0;3.0;4.0;0;14.0
pleiafy;4.0;4.0;3.0;4.0;0;15.0
ploopp;3.0;3.0;4.0;3.0;0;13.0
prait;2.0;4.0;4.0;4.0;0;14.0
psychiink;3.0;3.0;3.0;2.0;0;11.0
qeigs;2.0;3.0;2.0;2.0;0;9.0
schmieunk;3.0;4.0;4.0;2.0;0;13.0
schraatz;3.0;3.0;2.0;1.0;0;9.0
schrauerf;2.0;3.0;3.0;1.0;0;9.0
schriors;3.0;3.0;2.0;3.0;0;11.0
schriouct;3.0;3.0;4.0;2.0;0;12.0
schwiouf;3.0;3.0;4.0;3.0;0;13.0
schwioutz;3.0;4.0;4.0;3.0;0;14.0
schwooks;3.0;3.0;2.0;1.0;0;9.0
shraids;3.0;3.0;4.0;2.0;0;12.0
shriil;4.0;4.0;5.0;5.0;0;18.0
smaancy;3.0;3.0;3.0;3.0;0;12.0
smiaotch;2.0;3.0;3.0;2.0;0;10.0
smueb;3.0;3.0;3.0;2.0;0;11.0
smuirst;3.0;3.0;2.0;3.0;0;11.0
sniall;3.0;3.0;3.0;3.0;0;12.0
spreisk;4.0;5.0;5.0;3.0;0;17.0
spreuly;4.0;3.0;3.0;4.0;0;14.0
sqilt;3.0;4.0;3.0;4.0;0;14.0
squd;3.0;3.0;2.0;3.0;0;11.0
sriat;2.0;2.0;3.0;1.0;0;8.0
staudly;3.0;4.0;4.0;3.0;0;14.0
steerf;2.0;2.0;2.0;1.0;0;7.0
straey;2.0;2.0;1.0;1.0;0;6.0
straosk;3.0;2.0;2.0;4.0;0;11.0
struands;3.0;3.0;4.0;2.0;0;12.0
swaav;3.0;3.0;4.0;3.0;0;13.0
swesm;3.0;3.0;4.0;2.0;0;12.0
swohn;4.0;4.0;4.0;2.0;0;14.0
synuocy;3.0;3.0;4.0;3.0;0;13.0
taamp;3.0;2.0;2.0;3.0;0;10.0
teic;3.0;3.0;2.0;3.0;0;11.0
tsoupt;3.0;3.0;3.0;3.0;0;12.0
twaicks;2.0;2.0;2.0;2.0;0;8.0
tweonk;3.0;3.0;3.0;2.0;0;11.0
typiuts;3.0;2.0;2.0;2.0;0;9.0
waiarm;4.0;4.0;5.0;2.0;0;15.0
wrauerr;4.0;4.0;3.0;2.0;0;13.0
wreamp;3.0;3.0;3.0;2.0;0;11.0
wreegh;2.0;2.0;3.0;3.0;0;10.0
wuieff;3.0;2.0;2.0;1.0;0;8.0
wuirf;4.0;4.0;4.0;1.0;0;13.0
xall;2.0;2.0;2.0;2.0;0;8.0
xeoch;3.0;5.0;4.0;5.0;0;17.0
xiidy;2.0;1.0;1.0;1.0;0;5.0
xoys;2.0;4.0;3.0;3.0;0;12.0
