id;bimanual_dexterity;depth_perception;efficiency;tissue_handling;rater;GRS
baah;3.0;1.0;2.0;2.0;1;8.0
baialt;;;;;1;
baiodly;2.0;2.0;2.0;3.0;1;9.0
beays;3.0;2.0;2.0;4.0;1;11.0
blaas;;;;;1;
blamp;2.0;1.0;2.0;4.0;1;9.0
bloeks;3.0;3.0;3.0;2.0;1;11.0
bloown;5.0;2.0;3.0;4.0;1;14.0
blulls;;;;;1;
bluor;3.0;2.0;3.0;2.0;1;10.0
braiays;4.0;3.0;2.0;3.0;1;12.0
brects;4.0;2.0;2.0;5.0;1;13.0
broews;2.0;4.0;3.0;3.0;1;12.0
chaur;4.0;2.0;2.0;2.0;1;10.0
chesk;3.0;2.0;2.0;2.0;1;9.0
chieuly;5.0;2.0;3.0;4.0;1;14.0
choell;3.0;2.0;3.0;2.0;1;10.0
chraard;3.0;2.0;2.0;2.0;1;9.0
chreern;;;;;1;
ciaosm;3.0;1.0;2.0;3.0;1;9.0
cieuft;4.0;3.0;3.0;2.0;1;12.0
claubs;;;;;1;
cleery;4.0;2.0;2.0;2.0;1;10.0
cleews;;;;;1;
cleiath;4.0;3.0;3.0;3.0;1;13.0
crap;4.0;2.0;2.0;3.0;1;11.0
creild;;;;;1;
criirt;3.0;1.0;2.0;2.0;1;8.0
croks;5.0;5.0;4.0;4.0;1;18.0
croucks;3.0;1.0;2.0;2.0;1;8.0
cuiws;2.0;1.0;1.0;2.0;1;6.0
cyclaiag;3.0;2.0;3.0;2.0;1;10.0
cyclaiamp;4.0;2.0;2.0;2.0;1;10.0
cycleegs;2.0;2.0;2.0;2.0;1;8.0
cycleott;5.0;3.0;3.0;1.0;1;12.0
czond;4.0;2.0;3.0;3.0;1;12.0
daush;3.0;2.0;2.0;4.0;1;11.0
deim;3.0;3.0;3.0;2.0;1;11.0
draants;5.0;3.0;3.0;3.0;1;14.0
draoght;4.0;2.0;2.0;4.0;1;12.0
drauerth;;;;;1;
dreiatz;4.0;5.0;4.0;3.0;1;16.0
dwists;3.0;2.0;2.0;1.0;1;8.0
dynink;3.0;3.0;2.0;2.0;1;10.0
dynuiens;2.0;2.0;2.0;3.0;1;9.0
fify;4.0;5.0;4.0;5.0;1;18.0
fleiagh;;;;;1;
fleld;4.0;4.0;4.0;5.0;1;17.0
flioft;4.0;2.0;2.0;5.0;1;13.0
foott;4.0;3.0;3.0;2.0;1;12.0
frouwn;2.0;1.0;2.0;2.0;1;7.0
gheiwn;;;;;1;
ghiand;5.0;4.0;4.0;2.0;1;15.0
ghosp;2.0;2.0;2.0;2.0;1;8.0
giedly;3.0;2.0;4.0;3.0;1;12.0
glaions;5.0;2.0;2.0;3.0;1;12.0
glaiox;3.0;2.0;2.0;2.0;1;9.0
glieuc;2.0;3.0;3.0;2.0;1;10.0
gnagy;4.0;2.0;2.0;2.0;1;10.0
gnaind;4.0;2.0;3.0;3.0;1;12.0
gnauec;4.0;4.0;3.0;2.0;1;13.0
gnauely;4.0;4.0;4.0;2.0;1;14.0
gneaulls;4.0;1.0;2.0;5.0;1;12.0
gnieubs;4.0;2.0;2.0;3.0;1;11.0
gniups;4.0;3.0;3.0;2.0;1;12.0
graiopp;5.0;4.0;3.0;2.0;1;14.0
greault;4.0;2.0;2.0;3.0;1;11.0
greiach;;;;;1;
grught;3.0;3.0;2.0;2.0;1;10.0
gruiesk;5.0;2.0;2.0;3.0;1;12.0
guodly;5.0;4.0;3.0;2.0;1;14.0
haams;3.0;1.0;2.0;2.0;1;8.0
heaz;3.0;2.0;2.0;4.0;1;11.0
heong;5.0;3.0;3.0;2.0;1;13.0
heunt;3.0;2.0;2.0;2.0;1;9.0
hiib;5.0;2.0;3.0;2.0;1;12.0
hreogh;2.0;4.0;2.0;2.0;1;10.0
hroiasts;3.0;2.0;3.0;2.0;1;10.0
hyauet;3.0;3.0;2.0;2.0;1;10.0
hydrioms;4.0;2.0;2.0;4.0;1;12.0
hyoaz;2.0;1.0;2.0;2.0;1;7.0
hyoon;4.0;1.0;2.0;3.0;1;10.0
hypuins;5.0;4.0;3.0;3.0;1;15.0
jeipp;3.0;1.0;2.0;3.0;1;9.0
jiaorly;3.0;1.0;2.0;3.0;1;9.0
jiouc;4.0;2.0;2.0;4.0;1;12.0
jioupt;5.0;3.0;3.0;2.0;1;13.0
juen;3.0;3.0;3.0;2.0;1;11.0
juict;5.0;5.0;4.0;4.0;1;18.0
kaiann;5.0;2.0;4.0;2.0;1;13.0
keft;4.0;2.0;2.0;4.0;1;12.0
kheacy;2.0;1.0;1.0;3.0;1;7.0
kheeght;4.0;2.0;3.0;3.0;1;12.0
khuarm;5.0;3.0;3.0;3.0;1;14.0
kiourf;3.0;4.0;3.0;2.0;1;12.0
klaany;;;;;1;
klaiawn;3.0;2.0;2.0;2.0;1;9.0
klaums;4.0;3.0;3.0;2.0;1;12.0
knauely;4.0;2.0;2.0;2.0;1;10.0
kneausly;4.0;3.0;3.0;2.0;1;12.0
kniunn;3.0;3.0;2.0;3.0;1;11.0
knogy;3.0;4.0;3.0;3.0;1;13.0
kreausp;;;;;1;
kreell;4.0;2.0;2.0;2.0;1;10.0
kreewn;2.0;4.0;3.0;3.0;1;12.0
kreox;2.0;1.0;2.0;2.0;1;7.0
kroiss;3.0;2.0;2.0;2.0;1;9.0
krouct;2.0;1.0;1.0;1.0;1;5.0
kuency;4.0;3.0;3.0;3.0;1;13.0
kwaant;3.0;2.0;2.0;3.0;1;10.0
kweel;;;;;1;
kwiern;2.0;1.0;2.0;2.0;1;7.0
kwointz;4.0;2.0;3.0;2.0;1;11.0
kwuiev;4.0;2.0;2.0;2.0;1;10.0
kwuiz;3.0;4.0;4.0;3.0;1;14.0
laucks;5.0;2.0;2.0;2.0;1;11.0
leorn;3.0;2.0;2.0;2.0;1;9.0
leunn;5.0;2.0;3.0;4.0;1;14.0
luigs;3.0;1.0;2.0;2.0;1;8.0
mcclaehn;4.0;4.0;3.0;3.0;1;14.0
mcclaiahl;5.0;4.0;4.0;4.0;1;17.0
mcclauenn;3.0;2.0;2.0;2.0;1;9.0
mccliox;4.0;4.0;3.0;3.0;1;14.0
mccoests;2.0;1.0;2.0;2.0;1;7.0
mccraioss;4.0;2.0;2.0;2.0;1;10.0
mccraops;;;;;1;
